Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Canna,,TOP,21,47.6%,2.7,1.8,2.6,5,8,377,58.1%,22.5,487,1.29,0.51,0.24,0.27,31,0,-175,19%,14.3%,0,6
Carlsen,,TOP,76,69.7%,3.4,2.4,2.4,5.8,8.2,397,49.8%,19.4,502,0.82,0.25,0.19,0.13,147,4,96,15.8%,11.8%,0,26
Casting,,TOP,119,68.1%,3.6,3,2.4,5.6,7.5,386,50.9%,19.6,537,1.17,0.46,0.18,0.2,40,-4,33,18.5%,11.8%,1,43
Castle,,TOP,29,24.1%,1.6,1.9,3.7,4,7.6,357,58.9%,21,484,1.11,0.46,0.2,0.27,-157,-4,-152,31%,3.4%,0,10
Caucha,,TOP,48,62.5%,3.5,3.5,2.4,5.1,8.1,410,53.2%,23.9,572,0.98,0.39,0.14,0.11,273,6,231,18.8%,2.1%,0,47
ChaChaRon,,TOP,1,0%,2.2,1,6,12,5.7,315,65%,22.9,657,0.78,0.31,0.16,0,19,17,620,0%,100%,0,-
Chirashi,,TOP,19,68.4%,3.2,2.6,2.8,6.4,7.5,380,51.9%,20,491,0.89,0.35,0.12,0.09,-45,-9,147,31.6%,10.5%,0,9
Chungy,,TOP,7,14.3%,2.8,2.6,3.3,6.7,7.4,357,46.8%,17.7,484,0.89,0.4,0.12,0.08,-730,-13,-376,42.9%,0%,0,1
Clear,,TOP,91,37.4%,2.5,2.4,2.7,4.4,8.3,386,57.7%,21.5,489,0.97,0.32,0.21,0.16,-92,-5,-134,9.9%,9.9%,0,27
Cloyy,,TOP,4,0%,0.7,3.3,7.3,1.8,7.5,375,63.8%,27,551,0.9,0.36,0.15,0.16,432,9,-155,0%,25%,0,5
Colacioppo,,TOP,12,8.3%,0.9,0.8,3.7,2.5,7,321,33.5%,17,333,0.88,0.36,0.16,0.06,-1753,-23,-705,0%,25%,0,3
Color,,TOP,79,68.4%,3.6,3.2,2.6,6,7.9,415,55.8%,24.2,677,01.09,0.43,0.16,0.12,468,6,198,17.7%,8.9%,0,22
Cozy,,TOP,9,33.3%,2.1,2,4,6.2,7,343,51.1%,17.3,471,1,0.54,0.11,0.27,-585,-14,-301,33.3%,22.2%,0,3
Crimson,,TOP,22,31.8%,2.7,3.6,3.3,5,7.4,376,55.7%,20.6,552,0.67,0.23,0.12,0.02,-224,-6,-92,13.6%,4.5%,0,10
